"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12959","Search Product - Negative: Search for non-existent product","Automation Exercise Suite","Thu Dec 11 17:10:55 UTC 2025","passed","Thu Dec 11 17:11:08 UTC 2025","project_automationexercise.test.TC09_SearchProductValidation","All Tests","project_automationexercise.test.TC09_SearchProductValidation","testSearchNonExistentProduct"
"","11373","Negative: Verify Cart is Empty Initially","Automation Exercise Suite","Thu Dec 11 17:10:56 UTC 2025","passed","Thu Dec 11 17:11:07 UTC 2025","project_automationexercise.test.TC12_AddProductsValidation","All Tests","project_automationexercise.test.TC12_AddProductsValidation","testCartIsEmptyInitially"
"","3049","Negative: Verify Isolation (Babyhug Page should not show Polo Title)","Automation Exercise Suite","Thu Dec 11 17:11:39 UTC 2025","passed","Thu Dec 11 17:11:42 UTC 2025","project_automationexercise.test.TC20_ViewBrandProducts","All Tests","project_automationexercise.test.TC20_ViewBrandProducts","testBrandIsolationBabyhugActive"
"","3495","Negative: Add Review with Empty Review Text","Automation Exercise Suite","Thu Dec 11 17:11:36 UTC 2025","passed","Thu Dec 11 17:11:40 UTC 2025","project_automationexercise.test.TC21_AddReviewValidation","All Tests","project_automationexercise.test.TC21_AddReviewValidation","testAddReviewEmptyText"
"","2429","Positive: Verify Ladieswear Brands (Madame, Biba)","Automation Exercise Suite","Thu Dec 11 17:11:15 UTC 2025","passed","Thu Dec 11 17:11:18 UTC 2025","project_automationexercise.test.TC20_ViewBrandProducts","All Tests","project_automationexercise.test.TC20_ViewBrandProducts","testLadiesBrandsFullCoverage"
"","2322","Negative: Verify Isolation (Opening Women should not show Men/Kids)","Automation Exercise Suite","Thu Dec 11 17:11:43 UTC 2025","passed","Thu Dec 11 17:11:46 UTC 2025","project_automationexercise.test.TC18_ViewCategoryProducts","All Tests","project_automationexercise.test.TC18_ViewCategoryProducts","testCategoryIsolationWomenActive"
"","2313","Login with incorrect email and correct password","Automation Exercise Suite","Thu Dec 11 17:10:56 UTC 2025","passed","Thu Dec 11 17:10:58 UTC 2025","project_automationexercise.test.TC02_LoginValidation","All Tests","project_automationexercise.test.TC02_LoginValidation","testLoginWithIncorrectEmail"
"","3709","Negative: Add Review with Invalid Email Format","Automation Exercise Suite","Thu Dec 11 17:11:49 UTC 2025","passed","Thu Dec 11 17:11:53 UTC 2025","project_automationexercise.test.TC21_AddReviewValidation","All Tests","project_automationexercise.test.TC21_AddReviewValidation","testAddReviewInvalidEmail"
"","12198","testCreateAccount","Automation Exercise Suite","Thu Dec 11 17:10:48 UTC 2025","passed","Thu Dec 11 17:11:01 UTC 2025","project_automationexercise.test.TC01_RegisterUser","All Tests","project_automationexercise.test.TC01_RegisterUser","testCreateAccount"
"","14032","Positive: Place Order: Login before Checkout (Full Flow)","Automation Exercise Suite","Thu Dec 11 17:11:45 UTC 2025","passed","Thu Dec 11 17:11:59 UTC 2025","project_automationexercise.test.TC24_PlaceOrderVaildation","All Tests","project_automationexercise.test.TC24_PlaceOrderVaildation","testPlaceOrderSuccess"
"","2557","UI Flow: Continue Shopping Button","Automation Exercise Suite","Thu Dec 11 17:11:26 UTC 2025","passed","Thu Dec 11 17:11:28 UTC 2025","project_automationexercise.test.TC12_AddProductsValidation","All Tests","project_automationexercise.test.TC12_AddProductsValidation","testContinueShoppingFlow"
"","3194","Positive: Add Review with Valid Data","Automation Exercise Suite","Thu Dec 11 17:11:31 UTC 2025","passed","Thu Dec 11 17:11:34 UTC 2025","project_automationexercise.test.TC21_AddReviewValidation","All Tests","project_automationexercise.test.TC21_AddReviewValidation","testAddReviewSuccess"
"","4635","Search Product - Positive: Search for existing product","Automation Exercise Suite","Thu Dec 11 17:10:48 UTC 2025","passed","Thu Dec 11 17:10:53 UTC 2025","project_automationexercise.test.TC09_SearchProductValidation","All Tests","project_automationexercise.test.TC09_SearchProductValidation","testSearchExistingProduct"
"","5470","Positive: Verify Major Fashion Brands (Polo, H&M)","Automation Exercise Suite","Thu Dec 11 17:11:08 UTC 2025","passed","Thu Dec 11 17:11:13 UTC 2025","project_automationexercise.test.TC20_ViewBrandProducts","All Tests","project_automationexercise.test.TC20_ViewBrandProducts","testMajorBrandsFullCoverage"
"","1999","Positive: Verify Lifestyle Brands (Mast & Harbour)","Automation Exercise Suite","Thu Dec 11 17:11:19 UTC 2025","passed","Thu Dec 11 17:11:21 UTC 2025","project_automationexercise.test.TC20_ViewBrandProducts","All Tests","project_automationexercise.test.TC20_ViewBrandProducts","testLifestyleBrandsFullCoverage"
"","7985","Positive: Verify All Kids Category Links","Automation Exercise Suite","Thu Dec 11 17:11:29 UTC 2025","passed","Thu Dec 11 17:11:37 UTC 2025","project_automationexercise.test.TC18_ViewCategoryProducts","All Tests","project_automationexercise.test.TC18_ViewCategoryProducts","testKidsCategoryFullCoverage"
"","4780","Positive: Verify Kids Brands (Babyhug, Allen Solly, Kookie Kids)","Automation Exercise Suite","Thu Dec 11 17:11:23 UTC 2025","passed","Thu Dec 11 17:11:28 UTC 2025","project_automationexercise.test.TC20_ViewBrandProducts","All Tests","project_automationexercise.test.TC20_ViewBrandProducts","testKidsBrandsFullCoverage"
"","7073","Positive: Add multiple different products to cart","Automation Exercise Suite","Thu Dec 11 17:11:34 UTC 2025","passed","Thu Dec 11 17:11:41 UTC 2025","project_automationexercise.test.TC22_AddMultipleProductsAndVerify","All Tests","project_automationexercise.test.TC22_AddMultipleProductsAndVerify","testAddMultipleDifferentProducts"
"","2808","Negative: Verify Isolation (Polo Page should not show H&M Title)","Automation Exercise Suite","Thu Dec 11 17:11:33 UTC 2025","passed","Thu Dec 11 17:11:36 UTC 2025","project_automationexercise.test.TC20_ViewBrandProducts","All Tests","project_automationexercise.test.TC20_ViewBrandProducts","testBrandIsolationPoloActive"
"","10063","Negative: Verify Comment is Optional (Boundary Test)","Automation Exercise Suite","Thu Dec 11 17:12:12 UTC 2025","broken","Thu Dec 11 17:12:22 UTC 2025","project_automationexercise.test.TC24_PlaceOrderVaildation","All Tests","project_automationexercise.test.TC24_PlaceOrderVaildation","testPlaceOrderWithoutComment"
"","1811","Negative: Brand Header should not be visible initially","Automation Exercise Suite","Thu Dec 11 17:11:30 UTC 2025","passed","Thu Dec 11 17:11:32 UTC 2025","project_automationexercise.test.TC20_ViewBrandProducts","All Tests","project_automationexercise.test.TC20_ViewBrandProducts","testInitialStateNoBrandSelected"
"","5445","Positive: Verify All Women Category Links","Automation Exercise Suite","Thu Dec 11 17:11:02 UTC 2025","passed","Thu Dec 11 17:11:08 UTC 2025","project_automationexercise.test.TC18_ViewCategoryProducts","All Tests","project_automationexercise.test.TC18_ViewCategoryProducts","testWomenCategoryFullCoverage"
"","2334","Send valid contact message","Automation Exercise Suite","Thu Dec 11 17:11:44 UTC 2025","passed","Thu Dec 11 17:11:46 UTC 2025","project_automationexercise.test.TC23_ContactUsValidation","All Tests","project_automationexercise.test.TC23_ContactUsValidation","testSendValidContactMessage"
"","4603","Negative: Add Review with Empty Name","Automation Exercise Suite","Thu Dec 11 17:11:42 UTC 2025","passed","Thu Dec 11 17:11:47 UTC 2025","project_automationexercise.test.TC21_AddReviewValidation","All Tests","project_automationexercise.test.TC21_AddReviewValidation","testAddReviewEmptyName"
"","3215","Search Product - Negative: Empty Search","Automation Exercise Suite","Thu Dec 11 17:11:26 UTC 2025","passed","Thu Dec 11 17:11:30 UTC 2025","project_automationexercise.test.TC09_SearchProductValidation","All Tests","project_automationexercise.test.TC09_SearchProductValidation","testSearchEmpty"
"","2454","Negative: Verify Isolation (Opening Kids should not show Women/Men)","Automation Exercise Suite","Thu Dec 11 17:11:53 UTC 2025","passed","Thu Dec 11 17:11:55 UTC 2025","project_automationexercise.test.TC18_ViewCategoryProducts","All Tests","project_automationexercise.test.TC18_ViewCategoryProducts","testCategoryIsolationKidsActive"
"","14507","Positive: Verify All Men Category Links","Automation Exercise Suite","Thu Dec 11 17:11:10 UTC 2025","failed","Thu Dec 11 17:11:25 UTC 2025","project_automationexercise.test.TC18_ViewCategoryProducts","All Tests","project_automationexercise.test.TC18_ViewCategoryProducts","testMenCategoryFullCoverage"
